digest,url,status
CYR4R4W5TTM4LDGVRROZH2KV3X5XVDIN,https://www.brookings.edu/articles/%E2%80%8Bminsk-is-not-working-but-kyiv-should-stay-with-it/,success
EJS3ZQCMIPVSBFYDEFI47HQMF4DA4X2R,https://www.brookings.edu/articles/02-iran-around-brookings/,success
56GHMI6SS2W2JH6VJBFABPI7FFQZR766,https://www.brookings.edu/articles/08-bank-capital-requirements-elliott/,success
DGBCFHJMPS5EIYKSRHXJCLMJLI2IJJDW,https://www.brookings.edu/articles/1-v-99-no-its-affluent-squeezed-and-entrenched-poverty/,success
QKUHAGCTY7DTLPNEWHSLJ62W5YA7FNDF,https://www.brookings.edu/articles/10-facts-about-american-women-in-the-workforce/,success
3BX46WTEKHYJ4CAMUUVWJCE7HEJYKUHH,https://www.brookings.edu/articles/10-facts-about-americas-eitc-eligible-tax-filers/,success
ECAONTQD54WHBTPEOTSJZEKTBCHIACZL,https://www.brookings.edu/articles/10-facts-about-child-well-being-and-health-in-america/,success
4QG7HAJ4POJZUPXIJ5JZ2LJMCPBCPQ5M,https://www.brookings.edu/articles/10-facts-about-social-security-and-retirement-saving/,success
YXC3QKLD6WBVVSAXGO6KFQWMAC22SC5T,https://www.brookings.edu/articles/10-facts-about-water-policy-and-infrastructure-in-the-us/,success
SMKWVQ3Q44W7ZL2QSN45CXDO35I7AEBT,https://www.brookings.edu/articles/10-new-innovations-that-could-change-the-world-2/,success
FRM2MZ3PHPR4VHUURKTT7QIZZU7DKAJO,https://www.brookings.edu/articles/10-new-innovations-that-could-change-the-world-2/,success
WZR6CAF4ATK5Z7BHZJFZXKEOLG6OQPTS,https://www.brookings.edu/articles/10-things-to-know-about-brazil-as-you-watch-the-world-cup/,success
ZSHI73AMLOZZ7ADEZWRAFZAHM6JF22LG,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-august-2/,success
E5PWNKFN4N6CZ5JGZ45OMX42Y4WVZKTA,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-august-5/,success
XHK3LG4LPE6F3BGSGP4BFWFBYAJHFDVK,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-january/,success
R3A5HCFJELTKRTD7GC7GWBCNXL4YHCGX,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-january-3/,success
RYXFOV7AMVMQUNNIMN6PZSH6C3OPPXYD,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-july-3/,success
5WV6VQ2I6HHGDA7MS4NWEXRQWE33SCTY,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-july-4/,success
44CJEDGWU7AMQZIISKR323AYL53ZTYRV,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-march-2/,success
4PTJ7USD37NFTEIUJBFCKZZ6TALABI2G,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-march-3/,success
5V3DA6PQO2U4TY4KNGJ6X5TAQD65EX24,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may/,success
IZKYFK35FCXNGZ25UQPX3YFBD5636AIC,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may-3/,success
CJO56BKXYX2N4UO5KL64KEQHOHPXIZSG,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may-5/,success
HWDY7EO2KNP2HGPQKXB6XOLESZFY724J,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-november-2/,success
EYI7BAJOCSRVNAKWSOW5MWWV4XHYGRGB,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-november-3/,success
KZKSMEGSDRBMMKW4KSCSEQLR6TPOSTLX,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-october-5/,success
SJ2DEA6DQYJQUQJGPKLESKCUCGPPWR6W,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-september/,success
RHPZCYJCAAT5EQJ5B3HXRQXTSCJEI24A,https://www.brookings.edu/articles/10-years-after-the-financial-crisis-uneven-progress-and-some-structural-disconnects/,success
QLMC6MGNLQRJ6NRWYIQ73W5M6WSZEPUG,https://www.brookings.edu/articles/10-years-after-the-great-recession-why-arent-more-americans-working/,success
WEJBB3JTD33WHJTUDZCFV6EOV6XMVMKY,https://www.brookings.edu/articles/10-years-later-4-fiscal-policy-lessons-from-the-global-financial-crisis/,success
WDFFQRRRNZGG3I4LXJY4NMAMJDR47S6H,https://www.brookings.edu/articles/100-years-on-politics-is-where-the-u-s-lags-most-on-gender-equality/?utm_campaign=BrookingsBrief&utm_medium=email&utm_content=90187907&utm_source=hs_email,success
433UXTH4TK742EL6CSAKSB6GFHMDQYWH,https://www.brookings.edu/articles/11-body-parts-researchers-will-use-to-track-you/,success
KB67BMSPEUHRQZ5XKCWLHEQTNLFC7CCU,https://www.brookings.edu/articles/11-characteristics-of-the-international-order/,success
IC45RKFSI64WWYB7QWBAFXAWG7OEQOGB,https://www.brookings.edu/articles/11-foreign-policy-questions-for-the-gop-candidates/,success
YDKGBO45WKDK32R5D6HMBX4FG5K6ZSCI,https://www.brookings.edu/articles/11-must-read-brookings-books-by-women-authors/,success
K4S7TDY6UFR6JCUHB5IFLO3BD45JSAEV,https://www.brookings.edu/articles/1127246/,success
5OJ7PU2OEL6WXAGDGFYWDXMUQD3RWB45,https://www.brookings.edu/articles/12-insurers-arent-banks-regulating-solvency-litan/,success
SBKH7K2RHMIJPPD7IILYCGQ7CTDKTND2,https://www.brookings.edu/articles/1342345/,success
JHEJN4QAEGX7YZ7HW55LO6B35TFX3QDZ,https://www.brookings.edu/articles/14-brookings-books-on-american-federalism/,success
IQPF5Y3XPPVAOPURP7FZRGDAN3Z5XMNG,https://www.brookings.edu/articles/15-million-success-stories-under-the-millennium-development-goals/,success
A6LXI5X5FP7S46555XWTGPG4FGNORK45,https://www.brookings.edu/articles/1622441/,success
JBD6XRVHAJO5OE4TJGKDSQ5ZZJI7SHKR,https://www.brookings.edu/articles/17-rooms-a-new-approach-to-spurring-action-for-the-sustainable-development-goals/,success
EHBHKMBL7ME5QQJIPSGXNBQXGXNAA4NZ,https://www.brookings.edu/articles/17-rooms-a-new-podcast-for-the-sustainable-development-goals/,success
HKQMYHM2RCYH7B2JCNBZUMXZKRHRM3VK,https://www.brookings.edu/articles/1958-when-america-first-went-to-war-in-the-middle-east/,success
V7YTHMERSBYJY2SCCOYLILRJS7AAZEBS,https://www.brookings.edu/articles/1979-another-embassy-under-siege/,success
OEAHECYBPIPUCWVDPFLH4PEE7COZOFAN,https://www.brookings.edu/articles/1979-iran-and-america/,success
WFCZHUY6H35TKNXIFLWQIIC4ARF2WVO7,https://www.brookings.edu/articles/1998-federal-procurement-sets-record-increase/,success
TTSTT5JQ4DXX2FCBUA3XBN2PEUOYHLZ7,https://www.brookings.edu/articles/2-a-day-a-more-complete-picture/,success
IFUJVBRJ6TWRQWQBRFATJ7W5DCBBTFSW,https://www.brookings.edu/articles/2-a-day-a-more-complete-picture/,success
GMNLJD6Z7Q75H3E5EKBP6CW67L6N4NBM,https://www.brookings.edu/articles/2-billion-later-policy-implications-of-jp-morgan-chases-trading-loss/,success
YA4IQMIYUWLK6MUYRUR6GNJNVKHA4QSN,https://www.brookings.edu/articles/20-years-after-clintons-pathbreaking-trip-to-india-trump-contemplates-one-of-his-own/,success
4ULAXATUE4LDXJDXGAE6XVAL6MI74IPF,https://www.brookings.edu/articles/2005-a-space-odious/,success
OMYQLF2KWUEGE5W6J7WDVRN57YZLHKCG,https://www.brookings.edu/articles/2013-a-terrible-year-for-humanitarian-crises/,success
AHADN2LTHRWJWWLPLVXKY3DOYZLXHQEP,https://www.brookings.edu/articles/2013-the-year-social-mobility-went-mainstream/,success
ULFKVQ6FPSUHTAAJA6MKJCAHMM7KSRSV,https://www.brookings.edu/articles/2014-brown-center-report-on-american-education-how-well-are-american-students-learning/?ref=tomloveless.digitalpress.blog,success
CT5FXUD6XGQ4AFW5XR3XK6625UV5RECP,https://www.brookings.edu/articles/2014-may-be-the-start-of-sustained-economic-growth/,success
G6Q5CJAVMJLYJGMAK27UMQGBTNGEQMQ5,https://www.brookings.edu/articles/2014-midterms-isis-and-the-campaign-trail/,success
YNC3M3HV6U2Q7YGTDOKGO3JUNDFHYBWU,https://www.brookings.edu/articles/2014-midterms-patterns-and-paradoxes-in-voting-among-asian-americans/,success
KIJCQSM2XPKMIQAXOSYTG22ZZSL4662U,https://www.brookings.edu/articles/2014-midterms-the-epas-clean-power-plan-as-a-campaign-issue/,success
PCE37GBYXV4HSGA65GCBKLZUHPXBQ6X6,https://www.brookings.edu/articles/2014-midterms-women-voters-care-about-more-than-reproductive-rights/,success
HJDMFH7KLHWTUDYCFD3OP6KTGUWSR774,https://www.brookings.edu/articles/2015-16-judicial-confirmation-slowdowns-has-little-precedent-in-reagan-clinton-and-bush-administrations/,success
LCDFMSU23EP5UDK3G5LMDENSTLO6NXUL,https://www.brookings.edu/articles/2016-brown-center-report-on-american-education-how-well-are-american-students-learning/,success
IUN6WKAFGOCF4EFQEZVQYPNCVWP3TOPK,https://www.brookings.edu/articles/2016-brown-center-report-on-american-education-how-well-are-american-students-learning/?ref=tomloveless.digitalpress.blog,success
QOZCBIOQIQFKRN4OVKBV6AQAZSDOBQIP,https://www.brookings.edu/articles/2016-election-not-a-horse-race-update/,success
F63K7DTBHSHV4LWB5ZRUGPIDAHGWMBXI,https://www.brookings.edu/articles/2016-election-results-exposed-a-fractured-media-landscape/,success
